                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.20768,                0.18029,                0.81023,                0.99707,                0.98733,                 0.9947,                0.98307,                0.16327,                0.14293,                0.79142,               0.006436,               0.006436,               0.006436
                     38,                0.20693,                0.17934,                0.81276,                0.99315,                0.98884,                0.99416,                0.98257,                0.15786,                0.14116,                0.79401,               0.006337,               0.006337,               0.006337
                     39,                0.20494,                 0.1783,                0.81176,                0.99839,                0.98489,                0.99398,                 0.9814,                 0.1551,                0.13865,                0.78962,               0.006238,               0.006238,               0.006238
                     40,                0.20384,                0.17596,                0.81043,                0.99728,                0.98684,                0.99466,                0.98237,                0.15656,                0.13887,                0.79059,               0.006139,               0.006139,               0.006139
                     41,                0.20343,                0.17642,                0.80947,                0.99185,                 0.9911,                0.99425,                0.98217,                 0.1609,                  0.142,                0.79127,                0.00604,                0.00604,                0.00604
                     42,                0.19971,                0.17253,                0.80877,                0.99373,                0.98796,                0.99459,                0.98319,                0.14737,                0.13389,                0.78661,               0.005941,               0.005941,               0.005941
                     43,                0.19924,                0.17076,                0.80922,                0.99575,                0.98707,                 0.9942,                0.98316,                0.14842,                0.13081,                0.78786,               0.005842,               0.005842,               0.005842
                     44,                0.19659,                0.17031,                0.80689,                0.99693,                0.98569,                0.99464,                0.98415,                0.14857,                0.13242,                0.78467,               0.005743,               0.005743,               0.005743
                     45,                0.19532,                0.16877,                0.80692,                0.99209,                0.98986,                0.99385,                0.98262,                0.14899,                0.12925,                0.78763,               0.005644,               0.005644,               0.005644
                     46,                0.19376,                0.16755,                0.80804,                 0.9976,                0.98751,                0.99479,                0.98464,                0.14791,                0.12962,                 0.7848,               0.005545,               0.005545,               0.005545
                     47,                0.19053,                0.16493,                 0.8061,                0.99737,                0.98779,                0.99478,                0.98455,                0.14502,                0.12766,                0.78663,               0.005446,               0.005446,               0.005446
                     48,                0.19011,                0.16312,                0.80494,                0.99699,                0.99057,                0.99467,                0.98529,                0.14164,                0.12686,                0.78386,               0.005347,               0.005347,               0.005347
                     49,                0.18977,                0.16453,                0.80667,                0.99853,                0.98655,                0.99436,                0.98539,                0.14125,                0.12502,                0.78374,               0.005248,               0.005248,               0.005248
                     50,                0.18748,                0.16324,                0.80386,                0.99739,                0.98916,                0.99449,                0.98568,                0.13689,                0.12168,                0.78374,               0.005149,               0.005149,               0.005149
                     51,                0.18606,                0.16164,                0.80383,                0.99784,                0.98893,                0.99448,                0.98494,                0.14524,                0.12489,                0.78216,                0.00505,                0.00505,                0.00505
                     52,                 0.1821,                0.15861,                0.80335,                0.99765,                0.98666,                0.99447,                0.98579,                 0.1351,                0.12074,                0.78374,               0.004951,               0.004951,               0.004951
                     53,                0.18145,                0.15673,                0.80333,                0.99776,                0.98923,                0.99477,                0.98622,                0.13428,                0.11947,                0.78026,               0.004852,               0.004852,               0.004852
                     54,                0.18059,                0.15612,                0.80121,                0.99816,                0.98736,                0.99469,                 0.9861,                0.13695,                0.12015,                0.78161,               0.004753,               0.004753,               0.004753
                     55,                   0.18,                0.15642,                0.80098,                0.99547,                0.99067,                0.99477,                0.98695,                 0.1328,                0.11851,                0.78082,               0.004654,               0.004654,               0.004654
                     56,                0.17862,                0.15427,                0.80154,                 0.9957,                0.99201,                0.99488,                0.98685,                0.13495,                0.11693,                0.78232,               0.004555,               0.004555,               0.004555
                     57,                0.17623,                0.15352,                0.79915,                0.99672,                 0.9907,                0.99457,                0.98674,                 0.1326,                0.11672,                0.78054,               0.004456,               0.004456,               0.004456
                     58,                0.17609,                0.15193,                0.80266,                0.99817,                 0.9904,                0.99486,                0.98725,                0.12922,                 0.1141,                0.78072,               0.004357,               0.004357,               0.004357
                     59,                0.17475,                0.15175,                0.79912,                0.99582,                0.99097,                0.99471,                 0.9869,                0.13247,                0.11639,                0.78115,               0.004258,               0.004258,               0.004258
                     60,                 0.1713,                0.14948,                0.79744,                0.99816,                0.98879,                0.99478,                0.98716,                0.12837,                0.11268,                0.77883,               0.004159,               0.004159,               0.004159
                     61,                0.17161,                0.14939,                0.79856,                0.99579,                   0.99,                0.99481,                 0.9871,                0.12562,                0.11213,                0.77921,                0.00406,                0.00406,                0.00406
                     62,                0.16976,                 0.1484,                0.79805,                0.99907,                0.98828,                0.99458,                0.98694,                0.12611,                0.11222,                0.77849,               0.003961,               0.003961,               0.003961
                     63,                0.16752,                0.14557,                0.79658,                0.99672,                0.98946,                0.99447,                0.98715,                0.12508,                 0.1107,                 0.7783,               0.003862,               0.003862,               0.003862
